Height(km)\Time,2019/12/04 03:32:25,2019/12/04 03:32:34,2019/12/04 03:32:42,2019/12/04 03:32:51,2019/12/04 03:33:00,2019/12/04 03:33:08,2019/12/04 03:33:17,2019/12/04 03:33:26,2019/12/04 03:33:34,2019/12/04 03:33:43,2019/12/04 03:33:52,2019/12/04 03:34:00,2019/12/04 03:34:09,2019/12/04 03:34:18,2019/12/04 03:34:26,2019/12/04 03:34:35,2019/12/04 03:34:43,2019/12/04 03:34:52,2019/12/04 03:35:01,2019/12/04 03:35:10,2019/12/04 03:35:18,2019/12/04 03:35:27,2019/12/04 03:35:35,2019/12/04 03:35:44,2019/12/04 03:35:53,2019/12/04 03:36:02,2019/12/04 03:36:10,2019/12/04 03:36:19,2019/12/04 03:36:28,2019/12/04 03:36:37,2019/12/04 03:36:45,2019/12/04 03:36:54,2019/12/04 03:37:03,2019/12/04 03:37:11,2019/12/04 03:37:20,2019/12/04 03:37:29,2019/12/04 03:37:37,2019/12/04 03:37:46,2019/12/04 03:37:55,2019/12/04 03:38:03,2019/12/04 03:38:12,2019/12/04 03:38:21,2019/12/04 03:38:29,2019/12/04 03:38:38,2019/12/04 03:38:47,2019/12/04 03:38:56,2019/12/04 03:39:05,2019/12/04 03:39:13,2019/12/04 03:39:22,2019/12/04 03:39:31,2019/12/04 03:39:39,2019/12/04 03:39:48,2019/12/04 03:39:57,2019/12/04 03:40:05,2019/12/04 03:40:14,2019/12/04 03:40:23,2019/12/04 03:40:31,2019/12/04 03:40:40,2019/12/04 03:40:49,2019/12/04 03:40:57,2019/12/04 03:41:06,2019/12/04 03:41:15,2019/12/04 03:41:24,2019/12/04 03:41:32,2019/12/04 03:41:41,2019/12/04 03:41:50,2019/12/04 03:41:58,2019/12/04 03:42:07,2019/12/04 03:42:16,2019/12/04 03:42:25,2019/12/04 03:42:33,2019/12/04 03:42:42,2019/12/04 03:42:50,2019/12/04 03:42:59,2019/12/04 03:43:08,2019/12/04 03:43:17,2019/12/04 03:43:25,2019/12/04 03:43:34,2019/12/04 03:43:43,2019/12/04 03:43:51,2019/12/04 03:44:00,2019/12/04 03:44:09,2019/12/04 03:44:17,2019/12/04 03:44:26,2019/12/04 03:44:35,2019/12/04 03:44:43,2019/12/04 03:44:52,2019/12/04 03:45:01,2019/12/04 03:45:10,2019/12/04 03:45:18,2019/12/04 03:45:27,2019/12/04 03:45:36,2019/12/04 03:45:44,2019/12/04 03:45:53,2019/12/04 03:46:01,2019/12/04 03:46:10,2019/12/04 03:46:19,2019/12/04 03:46:27,2019/12/04 03:46:36,2019/12/04 03:46:45,2019/12/04 03:46:53,2019/12/04 03:47:02,2019/12/04 03:47:11,2019/12/04 03:47:19,2019/12/04 03:47:28,2019/12/04 03:47:37,2019/12/04 03:47:45,2019/12/04 03:47:54,2019/12/04 03:48:03,2019/12/04 03:48:11,2019/12/04 03:48:20,2019/12/04 03:48:29,2019/12/04 03:48:37,2019/12/04 03:48:46,2019/12/04 03:48:55,2019/12/04 03:49:04,2019/12/04 03:49:12,2019/12/04 03:49:21,2019/12/04 03:49:30,2019/12/04 03:49:38,2019/12/04 03:49:47,2019/12/04 03:49:56,2019/12/04 03:50:08,2019/12/04 03:50:16,2019/12/04 03:50:25,2019/12/04 03:50:34,2019/12/04 03:50:42,2019/12/04 03:50:51,2019/12/04 03:51:00,2019/12/04 03:51:08,2019/12/04 03:51:17,2019/12/04 03:51:26,2019/12/04 03:51:34,2019/12/04 03:51:43,2019/12/04 03:51:52,2019/12/04 03:52:00,2019/12/04 03:52:09,2019/12/04 03:52:18,2019/12/04 03:52:26,2019/12/04 03:52:35,2019/12/04 03:52:44,2019/12/04 03:52:52,2019/12/04 03:53:01,2019/12/04 03:53:10,2019/12/04 03:53:18,2019/12/04 03:53:27,2019/12/04 03:53:36,2019/12/04 03:53:44,2019/12/04 03:53:53,2019/12/04 03:54:01,2019/12/04 03:54:10,2019/12/04 03:54:19,2019/12/04 03:54:28,2019/12/04 03:54:36,2019/12/04 03:54:45,2019/12/04 03:54:54,2019/12/04 03:55:03,2019/12/04 03:55:11,2019/12/04 03:55:20,2019/12/04 03:55:28,2019/12/04 03:55:37,2019/12/04 03:55:46,2019/12/04 03:55:55,2019/12/04 03:56:03,2019/12/04 03:56:12,2019/12/04 03:56:20,2019/12/04 03:56:29,2019/12/04 03:56:38,2019/12/04 03:56:46,2019/12/04 03:56:55,2019/12/04 03:57:04,2019/12/04 03:57:12,2019/12/04 03:57:21,2019/12/04 03:57:30,2019/12/04 03:57:38,2019/12/04 03:57:47,2019/12/04 03:57:56,2019/12/04 03:58:04,2019/12/04 03:58:13,2019/12/04 03:58:22,2019/12/04 03:58:30,
GPS Angle,117.238 34.296 0,117.238 34.296 2,117.238 34.296 4,117.238 34.296 6,117.238 34.296 8,117.238 34.296 10,117.238 34.296 12,117.238 34.296 14,117.238 34.296 16,117.238 34.296 18,117.238 34.296 20,117.238 34.296 22,117.238 34.296 24,117.238 34.296 26,117.238 34.296 28,117.238 34.296 30,117.238 34.296 32,117.238 34.296 34,117.238 34.296 36,117.238 34.296 38,117.238 34.296 40,117.238 34.296 42,117.238 34.296 44,117.238 34.296 46,117.238 34.296 48,117.238 34.296 50,117.238 34.296 52,117.238 34.296 54,117.238 34.296 56,117.238 34.296 58,117.238 34.296 60,117.238 34.296 62,117.238 34.296 64,117.238 34.296 66,117.238 34.296 68,117.238 34.296 70,117.238 34.296 72,117.238 34.296 74,117.238 34.296 76,117.238 34.296 78,117.238 34.296 80,117.238 34.296 82,117.238 34.296 84,117.238 34.296 86,117.238 34.296 88,117.238 34.296 90,117.238 34.296 92,117.238 34.296 94,117.238 34.296 96,117.238 34.296 98,117.238 34.296 100,117.238 34.296 102,117.238 34.296 104,117.238 34.296 106,117.238 34.296 108,117.238 34.296 110,117.238 34.296 112,117.238 34.296 114,117.238 34.296 116,117.238 34.296 118,117.238 34.296 120,117.238 34.296 122,117.238 34.296 124,117.238 34.296 126,117.238 34.296 128,117.238 34.296 130,117.238 34.296 132,117.238 34.296 134,117.238 34.296 136,117.238 34.296 138,117.238 34.296 140,117.238 34.296 142,117.238 34.296 144,117.238 34.296 146,117.238 34.296 148,117.238 34.296 150,117.238 34.296 152,117.238 34.296 154,117.238 34.296 156,117.238 34.296 158,117.238 34.296 160,117.238 34.296 162,117.238 34.296 164,117.238 34.296 166,117.238 34.296 168,117.238 34.296 170,117.238 34.296 172,117.238 34.296 174,117.238 34.296 176,117.238 34.296 178,117.238 34.296 180,117.238 34.296 182,117.238 34.296 184,117.238 34.296 186,117.238 34.296 188,117.238 34.296 190,117.238 34.296 192,117.238 34.296 194,117.238 34.296 196,117.238 34.296 198,117.238 34.296 200,117.238 34.296 202,117.238 34.296 204,117.238 34.296 206,117.238 34.296 208,117.238 34.296 210,117.238 34.296 212,117.238 34.296 214,117.238 34.296 216,117.238 34.296 218,117.238 34.296 220,117.238 34.296 222,117.238 34.296 224,117.238 34.296 226,117.238 34.296 228,117.238 34.296 230,117.238 34.296 232,117.238 34.296 234,117.238 34.296 236,117.238 34.296 238,117.238 34.296 240,117.238 34.296 242,117.238 34.296 244,117.238 34.296 246,117.238 34.296 248,117.238 34.296 250,117.238 34.296 252,117.238 34.296 254,117.238 34.296 256,117.238 34.296 258,117.238 34.296 260,117.238 34.296 262,117.238 34.296 264,117.238 34.296 266,117.238 34.296 268,117.238 34.296 270,117.238 34.296 272,117.238 34.296 274,117.238 34.296 276,117.238 34.296 278,117.238 34.296 280,117.238 34.296 282,117.238 34.296 284,117.238 34.296 286,117.238 34.296 288,117.238 34.296 290,117.238 34.296 292,117.238 34.296 294,117.238 34.296 296,117.238 34.296 298,117.238 34.296 300,117.238 34.296 302,117.238 34.296 304,117.238 34.296 306,117.238 34.296 308,117.238 34.296 310,117.238 34.296 312,117.238 34.296 314,117.238 34.296 316,117.238 34.296 318,117.238 34.296 320,117.238 34.296 322,117.238 34.296 324,117.238 34.296 326,117.238 34.296 328,117.238 34.296 330,117.238 34.296 332,117.238 34.296 334,117.238 34.296 336,117.238 34.296 338,117.238 34.296 340,117.238 34.296 342,117.238 34.296 344,117.238 34.296 346,117.238 34.296 348,117.238 34.296 350,117.238 34.296 352,117.238 34.296 354,117.238 34.296 356,117.238 34.296 358,117.238 34.296 360,
0.000000,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,0.012343,
0.007500,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,
0.015000,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,0.012342,
0.022500,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,
0.030000,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.097340,0.193672,0.121517,0.026898,0.014282,0.012599,0.012375,0.012345,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.015034,0.018087,0.015801,0.012802,0.012402,0.012349,0.012342,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,0.012341,
0.037500,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.018007,0.321829,0.576351,0.230471,0.050773,0.018711,0.013356,0.012498,0.012364,0.012344,0.012341,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012520,0.040325,0.068992,0.042600,0.016671,0.012957,0.012428,0.012353,0.012342,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,
0.045000,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012718,0.033778,0.498139,0.879570,0.370288,0.080157,0.024861,0.014580,0.012729,0.012406,0.012351,0.012342,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012352,0.014231,0.063194,0.094889,0.030865,0.017446,0.013397,0.012534,0.012373,0.012345,0.012341,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,0.012340,
0.052500,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012365,0.013822,0.047807,0.843269,1.526305,0.680307,0.135142,0.035053,0.016527,0.013103,0.012477,0.012364,0.012344,0.012340,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012340,0.012467,0.016000,0.041928,0.065878,0.045644,0.018766,0.013691,0.012618,0.012394,0.012350,0.012341,0.012340,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,
0.060000,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012341,0.012441,0.014916,0.072906,1.464181,2.611024,1.074606,0.216394,0.051041,0.019623,0.013700,0.012591,0.012385,0.012347,0.012340,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012347,0.012601,0.014843,0.091461,0.158428,0.075581,0.023938,0.014513,0.012760,0.012422,0.012355,0.012342,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,0.012339,
